,Unnamed: 0,full_name,speciality,level,area,salary,employer,schedule,remote,skills,date,python,sql,pytorch,apache,git,java,eng
47,47,Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Понимание основных методов и алгоритмов Machine Learning. Опыт реализации и применения моделей машинного обучения в продакшн. Уверенное владение Python (numpy...', 'responsibility': 'Исследовать и сегментировать клиентскую базу. Строить скоринговые модели качества трафика. Прогнозировать эффект и определять оптимальные условия планируемых маркетинговых активностей, а...'}",2022-11-28,1,0,1,0,0,0,Moscow
48,48,Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Знаешь классический ML. Имеешь опыт и знания основных алгоритмов (logregression, catboost, lightgbm, pandas, etc.). Уверенные знания SQL, умеешь строить сложные...', 'responsibility': 'Заниматься продуктовой и клиентской <highlighttext>аналитикой</highlighttext>, используя полученные данные для улучшения моделей прогнозирования. Анализировать эффективность кросс-продаж, планировать эксперименты. '}",2022-11-29,0,1,1,0,0,0,Moscow
49,49,Data scientist,data scientist,unknown,Санкт-Петербург,0,other,1,0,"{'requirement': 'Уверенное программирование на Python (от 2 лет). Уверенное владение Linux, bash, git, docker, а также понимание механизмов CI, CD, code...', 'responsibility': 'Заниматься анализом данных ( построение дашбородов, предиктивная <highlighttext>аналитика</highlighttext>, взаимодействие с продуктологами и <highlighttext>аналитиками</highlighttext> ГИД). Разрабатывать систему рекомендаций с нуля.'}",2022-11-28,1,0,1,0,0,0,Saint Petersburg
50,50,Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Уверенное знание SQL. Опыт работы с Hadoop в качестве <highlighttext>аналитика</highlighttext> будет плюсом (Hive, Spark). Опыт работы с GitLab, Jira, Confluence. ', 'responsibility': 'Написание чистого продакшн кода и выведение модели в работу. Постановка задач и управление <highlighttext>аналитиком</highlighttext>. Презентация и защита результатов исследования.'}",2022-12-07,0,1,1,0,1,0,Moscow
51,51,Data Scientist – Senior/Chief,data scientist,senior,Москва,0,СБЕР,1,0,"{'requirement': 'Успешные внедрения ML решений в бизнес-процессы и доведение их до прома, практический опыт их последующего мониторинга и развития. ', 'responsibility': 'Обсуждение задач и методов их решения совместно с фрод-<highlighttext>аналитиками</highlighttext> и бизнес-заказчиками, формулирование гипотез и их проверка. '}",2022-11-28,0,0,1,0,0,0,Moscow
52,52,Data Scientist (Аналитик),data scientist,unknown,Нижний Новгород,0,other,1,0,"{'requirement': 'Высшее образование (IT, экономическое; преимущество - прикладная информатика в экономике). Опыт работы <highlighttext>аналитиком</highlighttext> в финансовой сфере желателен, НО НЕ ОБЯЗАТЕЛЕН. ', 'responsibility': 'Разработка новых и модификация существующих скоринговых моделей, используемых в процедурах принятия решений о кредитовании, выявления мошенников и оценки поведения клиентов. '}",2022-12-16,0,0,1,0,0,0,Nizhny Novgorod
53,53,"Data scientist (Ведущий аналитик инструментов оптимизации, Управление скоринга и Биг Дата)",data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Хорошее знание статистики, математического анализа, алгоритмов линейного программирования. Знание основ финансовой математики. Знание основных алгоритмов ML и понимание принципов их...', 'responsibility': 'Разработка классических ML моделей. Решение задач оптимизации. Внедрение и мониторинг моделей и оптимизационного решения. Оценка эффективности разработанных моделей с финансовой...'}",2022-11-28,0,0,1,0,0,0,Moscow
54,54,Data scientist (Гео и графы),data scientist,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Опыт работы в области <highlighttext>Data</highlighttext> Science от 2 лет. Хорошее знание алгоритмов машинного обучения, нейронных сетей. Python, библиотеки для работы...', 'responsibility': 'Исследование источников данных, обеспечение сбора данных. Составление требований для <highlighttext>Data</highlighttext> Engineer по разработке новых витрин/объектов. Построение и проверка гипотез...'}",2022-12-16,1,0,1,0,0,0,Moscow
55,55,Data Scientist (главный исследователь данных),data scientist,team lead,Москва,0,other,1,0,"{'requirement': 'Опыт работы от 1 года в <highlighttext>data</highlighttext> science. Опыт работы в финансовом секторе (страховые компании, банки) будет дополнительным преимуществом для...', 'responsibility': 'Подготовка <highlighttext>аналитики</highlighttext> по портфелю компании. Участие в различных проектах компании по широкому кругу задач блока андеррайтинга в рамках своей функциональной...'}",2022-12-05,0,0,1,0,0,0,Moscow
56,56,Data Scientist (корпоративные финансы),data scientist,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Высшее образование в области экономики / математики / финансов. Желание развиваться в области анализа корпоративных финансов с применением Python и методов машинного...', 'responsibility': 'Перспективные исследования и разработки, направленные на улучшение моделей как со стороны финансовой <highlighttext>аналитики</highlighttext>, так и в плане применения новых методов...'}",2022-11-28,1,0,1,0,0,0,Moscow
57,57,"Data scientist (проект ""Антиспам"")",data scientist,unknown,Москва,0,VK,1,0,"{'requirement': 'Обладаешь уверенными навыками программирования на Python и хотя бы в одном статически типизированном языке. Имеешь опыт с DL библиотеками (Pytorch...', 'responsibility': 'Исследование поведенческих паттернов и нахождение зависимостей в данных используя статистические методы анализа. Проведение <highlighttext>аналитики</highlighttext> табличных данных, временных рядов.'}",2022-12-02,1,0,1,0,0,0,Moscow
